,City,Total Price,Rupee_per_area(sq-feet),Area,Apartement
0,Ghaziabad,57.25,5000.0,1145,2.0
1,Ghaziabad,2.06,8300.0,2485,3.0
2,Greater Noida,53.12,4660.0,1140,2.0
3,Greater Noida,47.31,3850.0,1229,2.0
4,Greater Noida,78.75,4716.0,1670,3.0
6,Greater Noida,71.89,4424.0,1625,3.0
7,Ghaziabad,17.03,4518.0,377,1.0
8,Ghaziabad,28.8,2400.0,1200,2.0
9,Ghaziabad,98.0,4900.0,2000,3.0
11,Greater Noida,51.89,4850.0,1070,2.0
12,Greater Noida,78.72,4700.0,1675,3.0
13,Greater Noida,67.7,4299.0,1575,3.0
14,Greater Noida,76.21,5293.0,1440,3.0
16,Greater Noida,37.39,3800.0,984,2.0
17,Noida,3.87,11000.0,3525,4.0
19,Lucknow,49.0,4000.0,1225,2.0
20,Ghaziabad,57.25,5000.0,1145,2.0
21,Ghaziabad,2.06,8300.0,2485,3.0
22,Greater Noida,53.12,4660.0,1140,2.0
23,Greater Noida,47.31,3850.0,1229,2.0
24,Greater Noida,78.75,4716.0,1670,3.0
26,Greater Noida,71.89,4424.0,1625,3.0
27,Ghaziabad,17.03,4518.0,377,1.0
28,Ghaziabad,28.8,2400.0,1200,2.0
29,Ghaziabad,98.0,4900.0,2000,3.0
31,Greater Noida,51.89,4850.0,1070,2.0
32,Greater Noida,78.72,4700.0,1675,3.0
33,Greater Noida,67.7,4299.0,1575,3.0
34,Greater Noida,76.21,5293.0,1440,3.0
36,Greater Noida,37.39,3800.0,984,2.0
37,Noida,3.87,11000.0,3525,4.0
39,Lucknow,49.0,4000.0,1225,2.0
40,Ghaziabad,57.25,5000.0,1145,2.0
41,Ghaziabad,2.06,8300.0,2485,3.0
42,Greater Noida,53.12,4660.0,1140,2.0
43,Greater Noida,47.31,3850.0,1229,2.0
44,Greater Noida,78.75,4716.0,1670,3.0
46,Greater Noida,71.89,4424.0,1625,3.0
47,Ghaziabad,17.03,4518.0,377,1.0
48,Ghaziabad,28.8,2400.0,1200,2.0
49,Ghaziabad,98.0,4900.0,2000,3.0
51,Greater Noida,51.89,4850.0,1070,2.0
52,Greater Noida,78.72,4700.0,1675,3.0
53,Greater Noida,67.7,4299.0,1575,3.0
54,Greater Noida,76.21,5293.0,1440,3.0
56,Greater Noida,37.39,3800.0,984,2.0
57,Noida,3.87,11000.0,3525,4.0
59,Lucknow,49.0,4000.0,1225,2.0
60,Ghaziabad,57.25,5000.0,1145,2.0
61,Ghaziabad,2.06,8300.0,2485,3.0
62,Greater Noida,53.12,4660.0,1140,2.0
63,Greater Noida,47.31,3850.0,1229,2.0
64,Greater Noida,78.75,4716.0,1670,3.0
66,Greater Noida,71.89,4424.0,1625,3.0
67,Ghaziabad,17.03,4518.0,377,1.0
68,Ghaziabad,28.8,2400.0,1200,2.0
69,Ghaziabad,98.0,4900.0,2000,3.0
71,Greater Noida,51.89,4850.0,1070,2.0
72,Greater Noida,78.72,4700.0,1675,3.0
73,Greater Noida,67.7,4299.0,1575,3.0
74,Greater Noida,76.21,5293.0,1440,3.0
76,Greater Noida,37.39,3800.0,984,2.0
77,Noida,3.87,11000.0,3525,4.0
79,Lucknow,49.0,4000.0,1225,2.0
80,Ghaziabad,57.25,5000.0,1145,2.0
81,Ghaziabad,2.06,8300.0,2485,3.0
82,Greater Noida,53.12,4660.0,1140,2.0
83,Greater Noida,47.31,3850.0,1229,2.0
84,Greater Noida,78.75,4716.0,1670,3.0
86,Greater Noida,71.89,4424.0,1625,3.0
87,Ghaziabad,17.03,4518.0,377,1.0
88,Ghaziabad,28.8,2400.0,1200,2.0
89,Ghaziabad,98.0,4900.0,2000,3.0
91,Greater Noida,51.89,4850.0,1070,2.0
92,Greater Noida,78.72,4700.0,1675,3.0
93,Greater Noida,67.7,4299.0,1575,3.0
94,Greater Noida,76.21,5293.0,1440,3.0
96,Greater Noida,37.39,3800.0,984,2.0
97,Noida,3.87,11000.0,3525,4.0
99,Lucknow,49.0,4000.0,1225,2.0
100,Ghaziabad,57.25,5000.0,1145,2.0
101,Ghaziabad,2.06,8300.0,2485,3.0
102,Greater Noida,53.12,4660.0,1140,2.0
103,Greater Noida,47.31,3850.0,1229,2.0
104,Greater Noida,78.75,4716.0,1670,3.0
106,Greater Noida,71.89,4424.0,1625,3.0
107,Ghaziabad,17.03,4518.0,377,1.0
108,Ghaziabad,28.8,2400.0,1200,2.0
109,Ghaziabad,98.0,4900.0,2000,3.0
111,Greater Noida,51.89,4850.0,1070,2.0
112,Greater Noida,78.72,4700.0,1675,3.0
113,Greater Noida,67.7,4299.0,1575,3.0
114,Greater Noida,76.21,5293.0,1440,3.0
116,Greater Noida,37.39,3800.0,984,2.0
117,Noida,3.87,11000.0,3525,4.0
119,Lucknow,49.0,4000.0,1225,2.0
120,Ghaziabad,57.25,5000.0,1145,2.0
121,Ghaziabad,2.06,8300.0,2485,3.0
122,Greater Noida,53.12,4660.0,1140,2.0
123,Greater Noida,47.31,3850.0,1229,2.0
124,Greater Noida,78.75,4716.0,1670,3.0
126,Greater Noida,71.89,4424.0,1625,3.0
127,Ghaziabad,17.03,4518.0,377,1.0
128,Ghaziabad,28.8,2400.0,1200,2.0
129,Ghaziabad,98.0,4900.0,2000,3.0
131,Greater Noida,51.89,4850.0,1070,2.0
132,Greater Noida,78.72,4700.0,1675,3.0
133,Greater Noida,67.7,4299.0,1575,3.0
134,Greater Noida,76.21,5293.0,1440,3.0
136,Greater Noida,37.39,3800.0,984,2.0
137,Noida,3.87,11000.0,3525,4.0
139,Lucknow,49.0,4000.0,1225,2.0
140,Ghaziabad,57.25,5000.0,1145,2.0
141,Ghaziabad,2.06,8300.0,2485,3.0
142,Greater Noida,53.12,4660.0,1140,2.0
143,Greater Noida,47.31,3850.0,1229,2.0
144,Greater Noida,78.75,4716.0,1670,3.0
146,Greater Noida,71.89,4424.0,1625,3.0
147,Ghaziabad,17.03,4518.0,377,1.0
148,Ghaziabad,28.8,2400.0,1200,2.0
149,Ghaziabad,98.0,4900.0,2000,3.0
151,Greater Noida,51.89,4850.0,1070,2.0
152,Greater Noida,78.72,4700.0,1675,3.0
153,Greater Noida,67.7,4299.0,1575,3.0
154,Greater Noida,76.21,5293.0,1440,3.0
156,Greater Noida,37.39,3800.0,984,2.0
157,Noida,3.87,11000.0,3525,4.0
159,Lucknow,49.0,4000.0,1225,2.0
160,Ghaziabad,57.25,5000.0,1145,2.0
161,Ghaziabad,2.06,8300.0,2485,3.0
162,Greater Noida,53.12,4660.0,1140,2.0
163,Greater Noida,47.31,3850.0,1229,2.0
164,Greater Noida,78.75,4716.0,1670,3.0
166,Greater Noida,71.89,4424.0,1625,3.0
167,Ghaziabad,17.03,4518.0,377,1.0
168,Ghaziabad,28.8,2400.0,1200,2.0
169,Ghaziabad,98.0,4900.0,2000,3.0
171,Greater Noida,51.89,4850.0,1070,2.0
172,Greater Noida,78.72,4700.0,1675,3.0
173,Greater Noida,67.7,4299.0,1575,3.0
174,Greater Noida,76.21,5293.0,1440,3.0
176,Greater Noida,37.39,3800.0,984,2.0
177,Noida,3.87,11000.0,3525,4.0
179,Lucknow,49.0,4000.0,1225,2.0
180,Ghaziabad,57.25,5000.0,1145,2.0
181,Ghaziabad,2.06,8300.0,2485,3.0
182,Greater Noida,53.12,4660.0,1140,2.0
183,Greater Noida,47.31,3850.0,1229,2.0
184,Greater Noida,78.75,4716.0,1670,3.0
186,Greater Noida,71.89,4424.0,1625,3.0
187,Ghaziabad,17.03,4518.0,377,1.0
188,Ghaziabad,28.8,2400.0,1200,2.0
189,Ghaziabad,98.0,4900.0,2000,3.0
191,Greater Noida,51.89,4850.0,1070,2.0
192,Greater Noida,78.72,4700.0,1675,3.0
193,Greater Noida,67.7,4299.0,1575,3.0
194,Greater Noida,76.21,5293.0,1440,3.0
196,Greater Noida,37.39,3800.0,984,2.0
197,Noida,3.87,11000.0,3525,4.0
199,Lucknow,49.0,4000.0,1225,2.0
200,Ghaziabad,57.25,5000.0,1145,2.0
201,Ghaziabad,2.06,8300.0,2485,3.0
202,Greater Noida,53.12,4660.0,1140,2.0
203,Greater Noida,47.31,3850.0,1229,2.0
204,Greater Noida,78.75,4716.0,1670,3.0
206,Greater Noida,71.89,4424.0,1625,3.0
207,Ghaziabad,17.03,4518.0,377,1.0
208,Ghaziabad,28.8,2400.0,1200,2.0
209,Ghaziabad,98.0,4900.0,2000,3.0
211,Greater Noida,51.89,4850.0,1070,2.0
212,Greater Noida,78.72,4700.0,1675,3.0
213,Greater Noida,67.7,4299.0,1575,3.0
214,Greater Noida,76.21,5293.0,1440,3.0
216,Greater Noida,37.39,3800.0,984,2.0
217,Noida,3.87,11000.0,3525,4.0
219,Lucknow,49.0,4000.0,1225,2.0
220,Ghaziabad,57.25,5000.0,1145,2.0
221,Ghaziabad,2.06,8300.0,2485,3.0
222,Greater Noida,53.12,4660.0,1140,2.0
223,Greater Noida,47.31,3850.0,1229,2.0
224,Greater Noida,78.75,4716.0,1670,3.0
226,Greater Noida,71.89,4424.0,1625,3.0
227,Ghaziabad,17.03,4518.0,377,1.0
228,Ghaziabad,28.8,2400.0,1200,2.0
229,Ghaziabad,98.0,4900.0,2000,3.0
231,Greater Noida,51.89,4850.0,1070,2.0
232,Greater Noida,78.72,4700.0,1675,3.0
233,Greater Noida,67.7,4299.0,1575,3.0
234,Greater Noida,76.21,5293.0,1440,3.0
236,Greater Noida,37.39,3800.0,984,2.0
237,Noida,3.87,11000.0,3525,4.0
239,Lucknow,49.0,4000.0,1225,2.0
240,Ghaziabad,57.25,5000.0,1145,2.0
241,Ghaziabad,2.06,8300.0,2485,3.0
242,Greater Noida,53.12,4660.0,1140,2.0
243,Greater Noida,47.31,3850.0,1229,2.0
244,Greater Noida,78.75,4716.0,1670,3.0
246,Greater Noida,71.89,4424.0,1625,3.0
247,Ghaziabad,17.03,4518.0,377,1.0
248,Ghaziabad,28.8,2400.0,1200,2.0
249,Ghaziabad,98.0,4900.0,2000,3.0
251,Greater Noida,51.89,4850.0,1070,2.0
252,Greater Noida,78.72,4700.0,1675,3.0
253,Greater Noida,67.7,4299.0,1575,3.0
254,Greater Noida,76.21,5293.0,1440,3.0
256,Greater Noida,37.39,3800.0,984,2.0
257,Noida,3.87,11000.0,3525,4.0
259,Lucknow,49.0,4000.0,1225,2.0
260,Ghaziabad,57.25,5000.0,1145,2.0
261,Ghaziabad,2.06,8300.0,2485,3.0
262,Greater Noida,53.12,4660.0,1140,2.0
263,Greater Noida,47.31,3850.0,1229,2.0
264,Greater Noida,78.75,4716.0,1670,3.0
266,Greater Noida,71.89,4424.0,1625,3.0
267,Ghaziabad,17.03,4518.0,377,1.0
268,Ghaziabad,28.8,2400.0,1200,2.0
269,Ghaziabad,98.0,4900.0,2000,3.0
271,Greater Noida,51.89,4850.0,1070,2.0
272,Greater Noida,78.72,4700.0,1675,3.0
273,Greater Noida,67.7,4299.0,1575,3.0
274,Greater Noida,76.21,5293.0,1440,3.0
276,Greater Noida,37.39,3800.0,984,2.0
277,Noida,3.87,11000.0,3525,4.0
279,Lucknow,49.0,4000.0,1225,2.0
280,Ghaziabad,57.25,5000.0,1145,2.0
281,Ghaziabad,2.06,8300.0,2485,3.0
282,Greater Noida,53.12,4660.0,1140,2.0
283,Greater Noida,47.31,3850.0,1229,2.0
284,Greater Noida,78.75,4716.0,1670,3.0
286,Greater Noida,71.89,4424.0,1625,3.0
287,Ghaziabad,17.03,4518.0,377,1.0
288,Ghaziabad,28.8,2400.0,1200,2.0
289,Ghaziabad,98.0,4900.0,2000,3.0
291,Greater Noida,51.89,4850.0,1070,2.0
292,Greater Noida,78.72,4700.0,1675,3.0
293,Greater Noida,67.7,4299.0,1575,3.0
294,Greater Noida,76.21,5293.0,1440,3.0
296,Greater Noida,37.39,3800.0,984,2.0
297,Noida,3.87,11000.0,3525,4.0
299,Lucknow,49.0,4000.0,1225,2.0
300,Ghaziabad,57.25,5000.0,1145,2.0
301,Ghaziabad,2.06,8300.0,2485,3.0
302,Greater Noida,53.12,4660.0,1140,2.0
303,Greater Noida,47.31,3850.0,1229,2.0
304,Greater Noida,78.75,4716.0,1670,3.0
306,Greater Noida,71.89,4424.0,1625,3.0
307,Ghaziabad,17.03,4518.0,377,1.0
308,Ghaziabad,28.8,2400.0,1200,2.0
309,Ghaziabad,98.0,4900.0,2000,3.0
311,Greater Noida,51.89,4850.0,1070,2.0
312,Greater Noida,78.72,4700.0,1675,3.0
313,Greater Noida,67.7,4299.0,1575,3.0
314,Greater Noida,76.21,5293.0,1440,3.0
316,Greater Noida,37.39,3800.0,984,2.0
317,Noida,3.87,11000.0,3525,4.0
319,Lucknow,49.0,4000.0,1225,2.0
320,Ghaziabad,57.25,5000.0,1145,2.0
321,Ghaziabad,2.06,8300.0,2485,3.0
322,Greater Noida,53.12,4660.0,1140,2.0
323,Greater Noida,47.31,3850.0,1229,2.0
324,Greater Noida,78.75,4716.0,1670,3.0
326,Greater Noida,71.89,4424.0,1625,3.0
327,Ghaziabad,17.03,4518.0,377,1.0
328,Ghaziabad,28.8,2400.0,1200,2.0
329,Ghaziabad,98.0,4900.0,2000,3.0
331,Greater Noida,51.89,4850.0,1070,2.0
332,Greater Noida,78.72,4700.0,1675,3.0
333,Greater Noida,67.7,4299.0,1575,3.0
334,Greater Noida,76.21,5293.0,1440,3.0
336,Greater Noida,37.39,3800.0,984,2.0
337,Noida,3.87,11000.0,3525,4.0
339,Lucknow,49.0,4000.0,1225,2.0
340,Ghaziabad,57.25,5000.0,1145,2.0
341,Ghaziabad,2.06,8300.0,2485,3.0
342,Greater Noida,53.12,4660.0,1140,2.0
343,Greater Noida,47.31,3850.0,1229,2.0
344,Greater Noida,78.75,4716.0,1670,3.0
346,Greater Noida,71.89,4424.0,1625,3.0
347,Ghaziabad,17.03,4518.0,377,1.0
348,Ghaziabad,28.8,2400.0,1200,2.0
349,Ghaziabad,98.0,4900.0,2000,3.0
351,Greater Noida,51.89,4850.0,1070,2.0
352,Greater Noida,78.72,4700.0,1675,3.0
353,Greater Noida,67.7,4299.0,1575,3.0
354,Greater Noida,76.21,5293.0,1440,3.0
356,Greater Noida,37.39,3800.0,984,2.0
357,Noida,3.87,11000.0,3525,4.0
359,Lucknow,49.0,4000.0,1225,2.0
360,Ghaziabad,57.25,5000.0,1145,2.0
361,Ghaziabad,2.06,8300.0,2485,3.0
362,Greater Noida,53.12,4660.0,1140,2.0
363,Greater Noida,47.31,3850.0,1229,2.0
364,Greater Noida,78.75,4716.0,1670,3.0
366,Greater Noida,71.89,4424.0,1625,3.0
367,Ghaziabad,17.03,4518.0,377,1.0
368,Ghaziabad,28.8,2400.0,1200,2.0
369,Ghaziabad,98.0,4900.0,2000,3.0
371,Greater Noida,51.89,4850.0,1070,2.0
372,Greater Noida,78.72,4700.0,1675,3.0
373,Greater Noida,67.7,4299.0,1575,3.0
374,Greater Noida,76.21,5293.0,1440,3.0
376,Greater Noida,37.39,3800.0,984,2.0
377,Noida,3.87,11000.0,3525,4.0
379,Lucknow,49.0,4000.0,1225,2.0
380,Ghaziabad,57.25,5000.0,1145,2.0
381,Ghaziabad,2.06,8300.0,2485,3.0
382,Greater Noida,53.12,4660.0,1140,2.0
383,Greater Noida,47.31,3850.0,1229,2.0
384,Greater Noida,78.75,4716.0,1670,3.0
386,Greater Noida,71.89,4424.0,1625,3.0
387,Ghaziabad,17.03,4518.0,377,1.0
388,Ghaziabad,28.8,2400.0,1200,2.0
389,Ghaziabad,98.0,4900.0,2000,3.0
391,Greater Noida,51.89,4850.0,1070,2.0
392,Greater Noida,78.72,4700.0,1675,3.0
393,Greater Noida,67.7,4299.0,1575,3.0
394,Greater Noida,76.21,5293.0,1440,3.0
396,Greater Noida,37.39,3800.0,984,2.0
397,Noida,3.87,11000.0,3525,4.0
399,Lucknow,49.0,4000.0,1225,2.0
400,Ghaziabad,57.25,5000.0,1145,2.0
401,Ghaziabad,2.06,8300.0,2485,3.0
402,Greater Noida,53.12,4660.0,1140,2.0
403,Greater Noida,47.31,3850.0,1229,2.0
404,Greater Noida,78.75,4716.0,1670,3.0
406,Greater Noida,71.89,4424.0,1625,3.0
407,Ghaziabad,17.03,4518.0,377,1.0
408,Ghaziabad,28.8,2400.0,1200,2.0
409,Ghaziabad,98.0,4900.0,2000,3.0
411,Greater Noida,51.89,4850.0,1070,2.0
412,Greater Noida,78.72,4700.0,1675,3.0
413,Greater Noida,67.7,4299.0,1575,3.0
414,Greater Noida,76.21,5293.0,1440,3.0
416,Greater Noida,37.39,3800.0,984,2.0
417,Noida,3.87,11000.0,3525,4.0
419,Lucknow,49.0,4000.0,1225,2.0
420,Ghaziabad,57.25,5000.0,1145,2.0
421,Ghaziabad,2.06,8300.0,2485,3.0
422,Greater Noida,53.12,4660.0,1140,2.0
423,Greater Noida,47.31,3850.0,1229,2.0
424,Greater Noida,78.75,4716.0,1670,3.0
426,Greater Noida,71.89,4424.0,1625,3.0
427,Ghaziabad,17.03,4518.0,377,1.0
428,Ghaziabad,28.8,2400.0,1200,2.0
429,Ghaziabad,98.0,4900.0,2000,3.0
431,Greater Noida,51.89,4850.0,1070,2.0
432,Greater Noida,78.72,4700.0,1675,3.0
433,Greater Noida,67.7,4299.0,1575,3.0
434,Greater Noida,76.21,5293.0,1440,3.0
436,Greater Noida,37.39,3800.0,984,2.0
437,Noida,3.87,11000.0,3525,4.0
439,Lucknow,49.0,4000.0,1225,2.0
440,Ghaziabad,57.25,5000.0,1145,2.0
441,Ghaziabad,2.06,8300.0,2485,3.0
442,Greater Noida,53.12,4660.0,1140,2.0
443,Greater Noida,47.31,3850.0,1229,2.0
444,Greater Noida,78.75,4716.0,1670,3.0
446,Greater Noida,71.89,4424.0,1625,3.0
447,Ghaziabad,17.03,4518.0,377,1.0
448,Ghaziabad,28.8,2400.0,1200,2.0
449,Ghaziabad,98.0,4900.0,2000,3.0
451,Greater Noida,51.89,4850.0,1070,2.0
452,Greater Noida,78.72,4700.0,1675,3.0
453,Greater Noida,67.7,4299.0,1575,3.0
454,Greater Noida,76.21,5293.0,1440,3.0
456,Greater Noida,37.39,3800.0,984,2.0
457,Noida,3.87,11000.0,3525,4.0
459,Lucknow,49.0,4000.0,1225,2.0
460,Ghaziabad,57.25,5000.0,1145,2.0
461,Ghaziabad,2.06,8300.0,2485,3.0
462,Greater Noida,53.12,4660.0,1140,2.0
463,Greater Noida,47.31,3850.0,1229,2.0
464,Greater Noida,78.75,4716.0,1670,3.0
466,Greater Noida,71.89,4424.0,1625,3.0
467,Ghaziabad,17.03,4518.0,377,1.0
468,Ghaziabad,28.8,2400.0,1200,2.0
469,Ghaziabad,98.0,4900.0,2000,3.0
471,Greater Noida,51.89,4850.0,1070,2.0
472,Greater Noida,78.72,4700.0,1675,3.0
473,Greater Noida,67.7,4299.0,1575,3.0
474,Greater Noida,76.21,5293.0,1440,3.0
476,Greater Noida,37.39,3800.0,984,2.0
477,Noida,3.87,11000.0,3525,4.0
479,Lucknow,49.0,4000.0,1225,2.0
480,Ghaziabad,57.25,5000.0,1145,2.0
481,Ghaziabad,2.06,8300.0,2485,3.0
482,Greater Noida,53.12,4660.0,1140,2.0
483,Greater Noida,47.31,3850.0,1229,2.0
484,Greater Noida,78.75,4716.0,1670,3.0
486,Greater Noida,71.89,4424.0,1625,3.0
487,Ghaziabad,17.03,4518.0,377,1.0
488,Ghaziabad,28.8,2400.0,1200,2.0
489,Ghaziabad,98.0,4900.0,2000,3.0
491,Greater Noida,51.89,4850.0,1070,2.0
492,Greater Noida,78.72,4700.0,1675,3.0
493,Greater Noida,67.7,4299.0,1575,3.0
494,Greater Noida,76.21,5293.0,1440,3.0
496,Greater Noida,37.39,3800.0,984,2.0
497,Noida,3.87,11000.0,3525,4.0
499,Lucknow,49.0,4000.0,1225,2.0
500,Ghaziabad,57.25,5000.0,1145,2.0
501,Ghaziabad,2.06,8300.0,2485,3.0
502,Greater Noida,53.12,4660.0,1140,2.0
503,Greater Noida,47.31,3850.0,1229,2.0
504,Greater Noida,78.75,4716.0,1670,3.0
506,Greater Noida,71.89,4424.0,1625,3.0
507,Ghaziabad,17.03,4518.0,377,1.0
508,Ghaziabad,28.8,2400.0,1200,2.0
509,Ghaziabad,98.0,4900.0,2000,3.0
511,Greater Noida,51.89,4850.0,1070,2.0
512,Greater Noida,78.72,4700.0,1675,3.0
513,Greater Noida,67.7,4299.0,1575,3.0
514,Greater Noida,76.21,5293.0,1440,3.0
516,Greater Noida,37.39,3800.0,984,2.0
517,Noida,3.87,11000.0,3525,4.0
519,Lucknow,49.0,4000.0,1225,2.0
520,Ghaziabad,57.25,5000.0,1145,2.0
521,Ghaziabad,2.06,8300.0,2485,3.0
522,Greater Noida,53.12,4660.0,1140,2.0
523,Greater Noida,47.31,3850.0,1229,2.0
524,Greater Noida,78.75,4716.0,1670,3.0
